epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4433,0.80379,1.10684,1.95722,0.98736,0.50722,0.43001,0.47315,0.3866,0.5031,0.42652,0.47241,0.33428,0.90045,1.15203,2.49576,0.88977,0.00053344,0.00053344,0.00053344
2,79.5783,1.05926,1.25994,1.21715,1.06064,0.31675,0.25087,0.11951,0.06265,0.29039,0.36538,0.09783,0.05297,1.45994,6.00267,inf,1.16077,0.0010621,0.0010621,0.0010621
3,140.817,1.1015,1.32596,1.26374,1.11272,0.13792,0.06294,0.04088,0.02983,0.26684,0.04895,0.03765,0.01937,2.71954,86.8114,inf,4.48108,0.00156897,0.00156897,0.00156897
4,190.745,1.06445,1.23744,1.09306,1.08387,0.43474,0.47115,0.39805,0.25877,0.43035,0.46766,0.39326,0.20978,1.15288,2.22265,101.694,1.09214,0.00156798,0.00156798,0.00156798
5,248.302,1.09233,1.20152,0.95638,1.10536,0.45952,0.75612,0.50891,0.33334,0.46032,0.73798,0.49195,0.27804,1.1442,1.41575,1.80475,1.04844,0.00153497,0.00153497,0.00153497
6,314.079,1.05981,1.16016,0.8648,1.06375,0.4335,0.54139,0.4541,0.31458,0.44042,0.51777,0.44143,0.26017,1.0787,1.44622,2.35317,1.0021,0.00150197,0.00150197,0.00150197
7,357.29,1.01074,1.11195,0.85346,1.05292,0.44529,0.50553,0.52304,0.38998,0.45711,0.49213,0.52241,0.30773,1.03591,1.47034,1.71262,0.96242,0.00146896,0.00146896,0.00146896
8,393.308,0.99928,1.04725,0.81479,1.05271,0.4787,0.49563,0.56206,0.42699,0.4826,0.48864,0.55217,0.36938,0.96365,1.1977,1.44151,0.96567,0.00143595,0.00143595,0.00143595
9,414.183,0.94805,0.99177,0.74453,1.01156,0.9187,0.65931,0.68649,0.52337,0.91163,0.65232,0.67811,0.41462,0.96415,1.10837,0.95176,0.92327,0.00140295,0.00140295,0.00140295
10,446.734,0.92432,0.96746,0.72987,1.01713,0.53237,0.68007,0.65372,0.5101,0.52908,0.67657,0.64786,0.42582,0.89446,1.06105,0.82363,0.89876,0.00136994,0.00136994,0.00136994
11,472.096,0.87896,0.94562,0.68949,0.98111,0.76676,0.77655,0.77392,0.61985,0.75877,0.76956,0.76485,0.51807,0.84481,1.11281,0.70027,0.89296,0.00133693,0.00133693,0.00133693
12,499.726,0.8833,0.9313,0.67555,1.0024,0.67414,0.66186,0.6892,0.52841,0.67819,0.64739,0.67253,0.43158,0.84649,1.1591,0.87742,0.88924,0.00130393,0.00130393,0.00130393
13,543.441,0.86062,1.00053,0.66489,0.96967,0.93112,0.66958,0.71814,0.59298,0.93817,0.66493,0.7126,0.506,0.84994,1.0625,0.66567,0.87739,0.00127092,0.00127092,0.00127092
14,571.94,0.85837,0.90781,0.65919,0.98097,0.65204,0.69406,0.69114,0.57291,0.64882,0.69056,0.68503,0.47945,0.75675,0.96685,0.63482,0.86422,0.00123791,0.00123791,0.00123791
15,594.997,0.82156,0.88277,0.6417,0.97574,0.9121,0.70033,0.71298,0.57878,0.90267,0.68984,0.70007,0.4976,0.84468,1.01823,0.66089,0.87819,0.00120491,0.00120491,0.00120491
16,620.356,0.81399,0.85453,0.59932,0.96724,0.84474,0.64343,0.7502,0.58811,0.85005,0.63608,0.73494,0.5138,0.82211,0.96145,0.63316,0.906,0.0011719,0.0011719,0.0011719
17,648.379,0.83377,0.8932,0.60943,0.98939,0.9446,0.66868,0.76602,0.61495,0.94029,0.66038,0.75125,0.50461,0.83036,0.99904,0.62841,0.88269,0.00113889,0.00113889,0.00113889
18,677.526,0.7738,0.87146,0.592,0.95746,0.66844,0.70105,0.65233,0.53598,0.65125,0.67933,0.6435,0.43429,0.79715,0.95621,0.64212,0.86549,0.00110589,0.00110589,0.00110589
19,708.363,0.76484,0.81111,0.56853,0.94207,0.93752,0.68367,0.75358,0.60604,0.92993,0.67678,0.74434,0.52156,0.7825,0.90444,0.63156,0.8626,0.00107288,0.00107288,0.00107288
20,747.374,0.76858,0.82568,0.55941,0.94724,0.76141,0.67473,0.67822,0.52021,0.76141,0.67473,0.67588,0.45421,0.80237,1.10871,0.59116,0.86623,0.00103987,0.00103987,0.00103987
21,764.647,0.75714,0.81759,0.55508,0.95386,0.89933,0.66893,0.7706,0.589,0.89933,0.66893,0.76708,0.51852,0.7932,0.98423,0.62209,0.88348,0.00100687,0.00100687,0.00100687
22,801.717,0.7395,0.83425,0.5512,0.94357,0.75659,0.65681,0.66625,0.52197,0.761,0.66236,0.66136,0.43246,0.77458,0.96521,0.62145,0.87665,0.000973861,0.000973861,0.000973861
23,838.049,0.72745,0.82656,0.54695,0.93539,0.93624,0.64959,0.70757,0.56307,0.93624,0.64959,0.70014,0.47882,0.75584,1.02024,0.60102,0.85376,0.000940855,0.000940855,0.000940855
24,871.234,0.71383,0.7933,0.5316,0.92157,0.67527,0.70105,0.6584,0.51626,0.66653,0.69056,0.65051,0.4255,0.74646,1.02439,0.58668,0.85324,0.000907848,0.000907848,0.000907848
25,911.207,0.73224,0.8699,0.55461,0.93235,0.72258,0.70311,0.6685,0.54645,0.71359,0.69262,0.66128,0.45873,0.7405,0.88527,0.57591,0.86461,0.000874842,0.000874842,0.000874842
26,947.127,0.71298,0.75817,0.52184,0.92233,0.89465,0.824,0.83787,0.70136,0.89127,0.81588,0.82818,0.58054,0.73068,1.02165,0.51649,0.85892,0.000841835,0.000841835,0.000841835
27,976.575,0.69708,0.76033,0.50941,0.90402,0.91444,0.7944,0.83814,0.67568,0.90451,0.77959,0.82622,0.57101,0.73458,0.99715,0.54926,0.85338,0.000808828,0.000808828,0.000808828
28,1029.18,0.66487,0.74597,0.49624,0.91988,0.88542,0.82489,0.83931,0.71162,0.90033,0.79508,0.82728,0.58842,0.68525,0.93959,0.53354,0.84398,0.000775822,0.000775822,0.000775822
29,1046.62,0.64656,0.73589,0.47405,0.90973,0.93636,0.6688,0.80619,0.67591,0.93143,0.66628,0.79493,0.59259,0.73647,1.08419,0.55676,0.85828,0.000742815,0.000742815,0.000742815
30,1078.66,0.66096,0.72816,0.47619,0.91146,0.94087,0.67394,0.75433,0.61144,0.93694,0.67044,0.74101,0.52911,0.70572,0.99982,0.56153,0.85175,0.000709809,0.000709809,0.000709809
31,1109.15,0.67382,0.75605,0.47393,0.90408,0.92169,0.66711,0.76979,0.63133,0.92169,0.66711,0.76227,0.54319,0.70274,0.93737,0.51058,0.85318,0.000676802,0.000676802,0.000676802
32,1135.31,0.66458,0.73336,0.45801,0.9063,0.94212,0.66608,0.77289,0.63536,0.9381,0.66259,0.75327,0.54979,0.70073,0.96952,0.52202,0.85167,0.000643795,0.000643795,0.000643795
33,1152.48,0.6572,0.708,0.4586,0.91264,0.92932,0.67657,0.81019,0.65573,0.93983,0.66958,0.78637,0.55597,0.71303,0.93566,0.53626,0.85448,0.000610789,0.000610789,0.000610789
34,1170.8,0.64208,0.69356,0.46285,0.91037,0.89851,0.8201,0.84018,0.69596,0.91715,0.7891,0.82933,0.59909,0.68864,0.93002,0.48782,0.85016,0.000577782,0.000577782,0.000577782
35,1204.31,0.64506,0.68259,0.46308,0.9004,0.94862,0.65917,0.78624,0.63359,0.94862,0.65917,0.78374,0.52676,0.68962,0.93057,0.55406,0.84568,0.000544776,0.000544776,0.000544776
36,1233.73,0.59614,0.66546,0.41907,0.88732,0.93729,0.67657,0.77368,0.64787,0.93729,0.67657,0.76615,0.5355,0.67304,0.88965,0.53251,0.84431,0.000511769,0.000511769,0.000511769
37,1269.27,0.60293,0.70726,0.42882,0.90696,0.96316,0.67308,0.80205,0.65455,0.95918,0.66958,0.78974,0.53935,0.67806,0.88629,0.50084,0.84827,0.000478762,0.000478762,0.000478762
38,1312.76,0.59337,0.63764,0.42094,0.89032,0.93591,0.67657,0.79705,0.66646,0.93198,0.67308,0.7853,0.54324,0.64727,0.97826,0.47805,0.84027,0.000445756,0.000445756,0.000445756
39,1359.66,0.57149,0.65649,0.40681,0.87202,0.93788,0.67628,0.81775,0.68165,0.93788,0.67628,0.80789,0.53678,0.6646,0.91352,0.48121,0.83824,0.000412749,0.000412749,0.000412749
40,1392.73,0.58164,0.64836,0.40963,0.8763,0.93525,0.67657,0.8272,0.65992,0.93525,0.67657,0.80997,0.53652,0.64715,0.89598,0.50002,0.83367,0.000379743,0.000379743,0.000379743
