epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.68,0.77049,1.04279,1.56824,0.99068,0.46619,0.7279,0.45099,0.31499,0.45916,0.72293,0.42759,0.25051,0.93087,1.80277,2.67339,0.98417,0.000545377,0.000545377,0.000545377
2,77.8125,0.92239,1.0606,1.02952,1.07859,0.00051,0.13866,0.00057,0.00025,0.00042,0.13701,0.00053,0.00024,3.55671,633.694,inf,12.7377,0.00109014,0.00109014,0.00109014
3,134.001,1.00699,1.10975,0.96909,1.10307,0.13645,0.52767,0.11342,0.0545,0.13757,0.51803,0.11349,0.04635,1.61098,2.02649,10.8092,1.50264,0.00162391,0.00162391,0.00162391
4,186.944,0.931,1.04215,0.85568,1.09247,0.52174,0.54491,0.54299,0.40677,0.51641,0.53997,0.53144,0.33557,0.94019,1.23804,1.65215,1.00197,0.00161749,0.00161749,0.00161749
5,230.812,0.91422,1.03285,0.82253,1.06795,0.57419,0.66104,0.65424,0.49395,0.58059,0.67984,0.65895,0.43422,0.82456,1.04981,1.76754,0.94808,0.00160099,0.00160099,0.00160099
6,271.195,0.86601,0.9286,0.70624,1.04669,0.69314,0.73888,0.79163,0.63204,0.69314,0.73888,0.79125,0.58558,0.831,0.96788,0.91867,0.94478,0.00158448,0.00158448,0.00158448
7,322.164,0.8513,0.94361,0.70214,1.02834,0.88152,0.93139,0.94337,0.7608,0.87886,0.92562,0.93717,0.65315,0.85946,0.84365,0.72299,0.93087,0.00156798,0.00156798,0.00156798
8,394.693,0.84033,0.9914,0.67691,1.02629,0.95435,0.72773,0.89948,0.7272,0.95771,0.72669,0.89658,0.66875,0.79895,0.81809,0.62036,0.92526,0.00155148,0.00155148,0.00155148
9,435.735,0.801,0.88833,0.65912,1.01567,0.94065,0.72273,0.89581,0.72222,0.94065,0.72273,0.88884,0.62076,0.78689,0.81305,0.58875,0.92327,0.00153497,0.00153497,0.00153497
10,498.95,0.75737,0.78448,0.6159,0.9888,0.97067,0.89054,0.97053,0.80052,0.96901,0.8889,0.96896,0.69085,0.74103,0.81231,0.55094,0.91839,0.00151847,0.00151847,0.00151847
